click_id,user_id,product_id,product_name,sponsor_id,sponsor_name,category_name,is_clicked,is_purchased,click_duration_seconds,sponsored_position,session_id,bid_amount,relevance_score,clicked_at,category_name_encoded,sponsor_name_encoded,product_name_encoded
1,94,5,Gants Gardien Pro,1,Nike Football,Football,1,0,11,4,sess_77861,3.31,31.44,2025-01-11 05:31:00,4,29,28
2,100,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,5,sess_90199,3.31,11.78,2024-12-26 14:13:00,4,29,28
3,74,5,Gants Gardien Pro,1,Nike Football,Football,1,1,49,4,sess_21506,3.31,20.02,2025-04-05 22:28:00,4,29,28
4,82,5,Gants Gardien Pro,1,Nike Football,Football,1,1,81,3,sess_93584,3.31,70.95,2025-03-11 05:45:00,4,29,28
5,45,5,Gants Gardien Pro,1,Nike Football,Football,1,1,40,3,sess_57303,3.31,50.88,2024-05-01 15:01:00,4,29,28
6,142,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,5,sess_21300,3.31,36.89,2024-10-09 04:39:00,4,29,28
7,17,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,3,sess_63665,3.31,39.82,2024-09-02 16:26:00,4,29,28
8,148,5,Gants Gardien Pro,1,Nike Football,Football,1,1,124,1,sess_26821,3.31,12.53,2024-12-14 16:22:00,4,29,28
9,142,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,5,sess_17263,3.31,18.2,2024-08-09 16:58:00,4,29,28
10,32,5,Gants Gardien Pro,1,Nike Football,Football,1,0,62,5,sess_47230,3.31,15.3,2024-06-26 16:57:00,4,29,28
11,21,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,3,sess_49691,3.31,19.63,2024-05-20 04:40:00,4,29,28
12,137,5,Gants Gardien Pro,1,Nike Football,Football,1,0,44,1,sess_89316,3.31,50.26,2024-03-28 21:39:00,4,29,28
13,87,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,5,sess_85598,3.31,4.12,2024-02-11 01:41:00,4,29,28
14,68,5,Gants Gardien Pro,1,Nike Football,Football,1,0,132,2,sess_47967,3.31,76.7,2025-03-31 20:34:00,4,29,28
15,78,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,4,sess_19564,3.31,24.49,2024-07-26 09:29:00,4,29,28
16,16,5,Gants Gardien Pro,1,Nike Football,Football,1,1,160,2,sess_51853,3.31,43.96,2024-03-14 10:55:00,4,29,28
17,89,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,4,sess_41685,3.31,13.08,2024-10-14 03:20:00,4,29,28
18,120,5,Gants Gardien Pro,1,Nike Football,Football,1,1,79,1,sess_90658,3.31,26.75,2025-04-29 12:55:00,4,29,28
19,108,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,2,sess_85718,3.31,96.27,2025-02-20 10:59:00,4,29,28
20,81,5,Gants Gardien Pro,1,Nike Football,Football,1,0,132,2,sess_13037,3.31,76.31,2025-03-26 09:31:00,4,29,28
21,24,5,Gants Gardien Pro,1,Nike Football,Football,0,0,0,4,sess_16377,3.31,50.54,2024-04-20 18:22:00,4,29,28
22,73,1,Ballon Match Pro,1,Nike Football,Football,0,0,0,4,sess_80345,3.11,59.75,2024-12-10 15:18:00,4,29,2
23,3,1,Ballon Match Pro,1,Nike Football,Football,0,0,0,1,sess_62855,3.11,43.09,2025-01-07 11:48:00,4,29,2
24,94,1,Ballon Match Pro,1,Nike Football,Football,0,0,0,1,sess_47827,3.11,40.06,2024-04-09 11:35:00,4,29,2
25,19,1,Ballon Match Pro,1,Nike Football,Football,0,0,0,4,sess_90090,3.11,50.43,2024-05-23 19:43:00,4,29,2
26,31,1,Ballon Match Pro,1,Nike Football,Football,1,0,91,2,sess_28909,3.11,97.51,2024-10-12 11:48:00,4,29,2
27,51,1,Ballon Match Pro,1,Nike Football,Football,0,0,0,5,sess_53652,3.11,50.91,2024-01-24 01:08:00,4,29,2
28,133,2,Crampons Elite,1,Nike Football,Football,0,0,0,4,sess_90356,0.62,14.89,2024-03-12 10:59:00,4,29,23
29,82,2,Crampons Elite,1,Nike Football,Football,0,0,0,2,sess_54089,0.62,39.3,2025-03-07 09:37:00,4,29,23
30,130,2,Crampons Elite,1,Nike Football,Football,0,0,0,5,sess_12180,0.62,53.23,2024-06-02 15:52:00,4,29,23
31,95,2,Crampons Elite,1,Nike Football,Football,0,0,0,3,sess_92478,0.62,67.38,2024-10-25 09:50:00,4,29,23
32,7,2,Crampons Elite,1,Nike Football,Football,0,0,0,5,sess_39824,0.62,47.46,2025-02-04 18:36:00,4,29,23
33,14,2,Crampons Elite,1,Nike Football,Football,0,0,0,5,sess_59832,0.62,48.04,2025-01-04 19:49:00,4,29,23
34,38,2,Crampons Elite,1,Nike Football,Football,0,0,0,2,sess_67807,0.62,3.16,2024-02-26 06:01:00,4,29,23
35,81,2,Crampons Elite,1,Nike Football,Football,0,0,0,4,sess_90147,0.62,15.14,2024-07-29 16:49:00,4,29,23
36,121,2,Crampons Elite,1,Nike Football,Football,1,0,174,1,sess_51124,0.62,70.58,2024-09-01 16:24:00,4,29,23
37,45,2,Crampons Elite,1,Nike Football,Football,1,1,179,4,sess_89963,0.62,91.21,2024-11-25 22:16:00,4,29,23
38,124,2,Crampons Elite,1,Nike Football,Football,1,1,81,2,sess_37168,0.62,95.73,2025-01-29 09:45:00,4,29,23
39,126,2,Crampons Elite,1,Nike Football,Football,0,0,0,3,sess_47721,0.62,47.98,2025-04-23 23:17:00,4,29,23
40,32,2,Crampons Elite,1,Nike Football,Football,1,0,93,5,sess_15513,0.62,67.66,2025-05-03 04:18:00,4,29,23
41,74,2,Crampons Elite,1,Nike Football,Football,0,0,0,1,sess_38047,0.62,34.64,2024-05-11 23:30:00,4,29,23
42,52,2,Crampons Elite,1,Nike Football,Football,0,0,0,5,sess_90698,0.62,27.11,2024-05-19 04:06:00,4,29,23
43,62,2,Crampons Elite,1,Nike Football,Football,0,0,0,2,sess_16880,0.62,5.08,2024-04-25 20:14:00,4,29,23
44,26,2,Crampons Elite,1,Nike Football,Football,0,0,0,4,sess_82135,0.62,33.03,2024-12-14 04:00:00,4,29,23
45,41,2,Crampons Elite,1,Nike Football,Football,0,0,0,4,sess_36143,0.62,65.29,2024-08-31 15:41:00,4,29,23
46,74,2,Crampons Elite,1,Nike Football,Football,1,0,171,3,sess_14888,0.62,28.54,2024-10-20 07:34:00,4,29,23
47,45,2,Crampons Elite,1,Nike Football,Football,1,0,106,4,sess_47941,0.62,88.22,2025-02-07 15:11:00,4,29,23
48,3,5,Gants Gardien Pro,2,Adidas Soccer,Football,1,0,77,3,sess_78723,9.44,56.8,2024-08-20 20:34:00,4,2,28
49,127,5,Gants Gardien Pro,2,Adidas Soccer,Football,1,1,33,2,sess_70150,9.44,85.11,2024-06-18 05:46:00,4,2,28
