interaction_id,user_id,product_id,product_name,category_id,category_name,product_type,searched_size,size_available,is_preferred_category,search_frequency_in_category,is_in_favorites,added_to_favorites,prix,stock,product_status,is_clicked,click_duration_seconds,is_purchased,recommendation_score,interaction_time
1,1,9,Ballon Indoor/Outdoor,2,Basketball,equipement,Standard,True,True,1,False,False,39.61,163,EN_ARRIVAGE,True,28,False,66.32,2024-08-24 18:35:00
2,1,6,Short Match,1,Football,vetement,S,True,True,1,False,False,36.89,185,EN_STOCK,False,0,False,71.1,2024-08-31 16:09:00
3,1,58,Tapis Yoga Premium,8,Fitness,equipement,Junior,True,False,1,False,False,41.24,20,EN_STOCK,False,0,False,41.11,2024-12-31 02:32:00
4,1,12,Short Respirant,2,Basketball,vetement,L,True,True,2,False,False,43.9,77,EN_STOCK,False,0,False,71.24,2025-04-14 09:24:00
5,1,1,Ballon Match Pro,1,Football,equipement,Pro,True,True,2,False,False,38.86,75,EN_STOCK,True,29,False,72.47,2024-05-09 23:54:00
6,1,35,Bonnet Silicone,5,Natation,accessoire,S/M,True,True,1,False,False,8.36,20,EN_STOCK,False,0,False,63.82,2024-06-07 20:44:00
7,1,10,Chaussures High-Top,2,Basketball,chaussure,41,True,True,3,False,False,155.35,158,EN_ARRIVAGE,False,0,False,62.77,2024-12-09 22:53:00
8,1,68,Filet Competition,9,Volleyball,equipement,Junior,True,False,1,False,False,173.2,106,EN_STOCK,False,0,False,34.46,2024-07-04 00:23:00
9,1,14,Panier Portable,2,Basketball,equipement,Standard,True,True,4,True,True,169.71,137,EN_STOCK,False,0,False,68.92,2024-05-31 03:32:00
10,1,68,Filet Competition,9,Volleyball,equipement,Junior,True,False,2,False,False,173.2,106,EN_STOCK,False,0,False,37.62,2024-11-12 04:38:00
11,1,11,Maillot Reversible,2,Basketball,vetement,XL,True,True,5,False,False,56.58,56,EN_STOCK,True,117,True,83.09,2025-01-03 07:28:00
12,1,40,Sac Etanche 30L,5,Natation,accessoire,Unique,True,True,2,True,True,35.23,116,EN_STOCK,True,125,False,71.34,2024-12-13 18:28:00
13,1,7,Chaussettes Performance,1,Football,vetement,S,True,True,3,True,True,14.73,101,EN_STOCK,True,56,False,73.19,2024-05-08 01:41:00
14,1,2,Crampons Elite,1,Football,chaussure,39,True,True,4,True,True,117.04,138,EN_ARRIVAGE,False,0,False,64.85,2025-04-08 16:09:00
15,1,12,Short Respirant,2,Basketball,vetement,S,True,True,6,False,False,43.9,77,EN_STOCK,False,0,False,86.17,2024-07-31 01:25:00
