interaction_id,user_id,product_id,product_name,category_id,category_name,product_type,searched_size,size_available,is_preferred_category,search_frequency_in_category,is_in_favorites,added_to_favorites,prix,stock,product_status,is_clicked,click_duration_seconds,is_purchased,recommendation_score,interaction_time,category_name_encoded,product_name_encoded,product_type_encoded,searched_size_encoded,product_status_encoded
1,1,9,Ballon Indoor/Outdoor,2,Basketball,equipement,Standard,1,1,-0.8952934796886594,0,0,-0.4040111856526951,0.8703281517062356,EN_ARRIVAGE,1,-0.3535846541875055,0,66.32,2024-08-24 18:35:00,0,1,2,15,0
2,1,6,Short Match,1,Football,vetement,S,1,1,-0.8952934796886594,0,0,-0.4500285137870699,1.2240970629392596,EN_STOCK,0,-0.8233846050154263,0,71.1,2024-08-31 16:09:00,4,74,3,13,1
3,1,58,Tapis Yoga Premium,8,Fitness,equipement,Junior,1,0,-0.8952934796886594,0,0,-0.3764346250427572,-1.4291697713084208,EN_STOCK,0,-0.8233846050154263,0,41.11,2024-12-31 02:32:00,3,77,2,8,1
4,1,12,Short Respirant,2,Basketball,vetement,L,1,1,-0.656485790223861,0,0,-0.33143238502899375,-0.5125866831137675,EN_STOCK,0,-0.8233846050154263,0,71.24,2025-04-14 09:24:00,0,75,3,9,1
5,1,1,Ballon Match Pro,1,Football,equipement,Pro,1,1,-0.656485790223861,0,0,-0.4166997871603352,-0.5447474932258607,EN_STOCK,1,-0.33680608451507976,0,72.47,2024-05-09 23:54:00,4,2,2,12,1
6,1,35,Bonnet Silicone,5,Natation,accessoire,S/M,1,1,-0.8952934796886594,0,0,-0.9327029151376993,-1.4291697713084208,EN_STOCK,0,-0.8233846050154263,0,63.82,2024-06-07 20:44:00,6,10,0,14,1
7,1,10,Chaussures High-Top,2,Basketball,chaussure,41,1,1,-0.4176781007590626,0,0,1.5540937990063253,0.7899261264260028,EN_ARRIVAGE,0,-0.8233846050154263,0,62.77,2024-12-09 22:53:00,0,21,1,3,0
8,1,68,Filet Competition,9,Volleyball,equipement,Junior,1,0,-0.8952934796886594,0,0,1.8560825148881597,-0.04625493648841769,EN_STOCK,0,-0.8233846050154263,0,34.46,2024-07-04 00:23:00,9,31,2,8,1
9,1,14,Panier Portable,2,Basketball,equipement,Standard,1,1,-0.1788704112942642,1,1,1.7970382225392747,0.4522376202490253,EN_STOCK,0,-0.8233846050154263,0,68.92,2024-05-31 03:32:00,0,54,2,15,1
10,1,68,Filet Competition,9,Volleyball,equipement,Junior,1,0,-0.656485790223861,0,0,1.8560825148881597,-0.04625493648841769,EN_STOCK,0,-0.8233846050154263,0,37.62,2024-11-12 04:38:00,9,31,2,8,1
